City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port moresby,-9.4431,147.1797,302.83,66,40,2.57,PG,1670200434
1,guerrero negro,27.9769,-114.0611,291.49,79,100,5.54,MX,1670200435
2,avarua,-21.2078,-159.775,301.18,83,100,3.09,CK,1670200435
3,busselton,-33.65,115.3333,291.51,62,100,4.69,AU,1670200436
4,sitka,57.0531,-135.33,275.09,75,0,1.54,US,1670200437
5,kapaa,22.0752,-159.319,301.33,73,40,4.63,US,1670200437
6,kodiak,57.79,-152.4072,275.88,87,75,5.14,US,1670200438
7,rawson,-43.3002,-65.1023,293.31,30,0,5.14,AR,1670200438
8,vaini,-21.2,-175.2,298.24,94,75,4.63,TO,1670200439
9,rio gallegos,-51.6226,-69.2181,288.18,26,20,11.83,AR,1670200200
10,rabo de peixe,37.8,-25.5833,286.64,97,20,2.06,PT,1670200440
11,haines junction,60.7522,-137.5108,255.12,85,43,0.0,CA,1670200440
12,pastavy,55.1168,26.8326,267.03,85,100,4.68,BY,1670200441
13,balykshi,47.0667,51.8667,257.15,78,0,2.0,KZ,1670200441
14,pangoa,-12.1167,-73.0,292.87,96,99,1.33,PE,1670200442
15,ponta do sol,32.6667,-17.1,290.38,82,99,8.64,PT,1670200442
16,asau,46.4333,26.4,270.66,98,100,1.66,RO,1670200443
17,port alfred,-33.5906,26.891,291.03,89,100,0.71,ZA,1670200443
18,albany,42.6001,-73.9662,272.33,76,58,1.48,US,1670200187
19,laureles,26.1092,-97.4941,297.65,76,100,2.57,US,1670200444
20,rikitea,-23.1203,-134.9692,297.33,81,78,5.42,PF,1670200444
21,dingle,10.9995,122.6711,298.26,92,100,3.8,PH,1670200445
22,chokwe,-24.5333,32.9833,297.05,86,0,3.17,MZ,1670200446
23,touros,-5.1989,-35.4608,298.86,76,11,6.18,BR,1670200378
24,bredasdorp,-34.5322,20.0403,286.34,75,11,1.73,ZA,1670200447
25,fairbanks,64.8378,-147.7164,263.76,93,40,0.0,US,1670200447
26,sile,41.1754,29.6133,286.24,68,100,2.24,TR,1670200448
27,kahului,20.8947,-156.47,302.16,61,40,8.23,US,1670200393
28,khasan,42.4308,130.6434,267.29,44,0,6.45,RU,1670200449
29,cabo san lucas,22.8909,-109.9124,300.71,73,0,2.57,MX,1670200413
30,pangody,65.85,74.4859,268.07,94,100,7.15,RU,1670200349
31,alice springs,-23.7,133.8833,306.51,11,0,4.37,AU,1670200450
32,ontario,34.0633,-117.6509,290.91,76,100,2.57,US,1670200241
